country,cases,deaths,recovered
USA,"1095304","63871","155737"
Spain,"239639","24543","137984"
Italy,"205463","27967","75945"
France,"167178","24376","49476"
Germany,"163009","6623","126900"
Turkey,"120204","3174","48886"
Russia,"114431","1169","13220"
Iran,"94640","6028","75103"
Brazil,"87187","6006","35935"
China,"82874","4633","77642"
